Category,Title,Price,Rate
Classics,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Classics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Classics,The Black Maria,52.15,One
Classics,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Classics,Shakespeare's Sonnets,20.66,Four
Classics,Set Me Free,17.46,Five
Classics,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Classics,Rip it Up and Start Again,35.02,Five
Classics,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Classics,Olio,23.88,One
Classics,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Classics,Libertarianism for Beginners,51.33,Two
Classics,It's Only the Himalayas,45.17,Two
Philosophy,A Light in the Attic,51.77,Three
Philosophy,Tipping the Velvet,53.74,One
Philosophy,Soumission,50.1,One
Philosophy,Sharp Objects,47.82,Four
Philosophy,Sapiens: A Brief History of Humankind,54.23,Five
Philosophy,The Requiem Red,22.65,One
Philosophy,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Philosophy,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Philosophy,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Philosophy,The Black Maria,52.15,One
Philosophy,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Philosophy,Shakespeare's Sonnets,20.66,Four
Philosophy,Set Me Free,17.46,Five
Philosophy,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Philosophy,Rip it Up and Start Again,35.02,Five
Philosophy,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Philosophy,Olio,23.88,One
Philosophy,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Philosophy,Libertarianism for Beginners,51.33,Two
Philosophy,It's Only the Himalayas,45.17,Two
Romance,A Light in the Attic,51.77,Three
Romance,Tipping the Velvet,53.74,One
Romance,Soumission,50.1,One
Romance,Sharp Objects,47.82,Four
Romance,Sapiens: A Brief History of Humankind,54.23,Five
Romance,The Requiem Red,22.65,One
Romance,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Romance,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Romance,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Romance,The Black Maria,52.15,One
Romance,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Romance,Shakespeare's Sonnets,20.66,Four
Romance,Set Me Free,17.46,Five
Romance,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Romance,Rip it Up and Start Again,35.02,Five
Romance,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Romance,Olio,23.88,One
Romance,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Romance,Libertarianism for Beginners,51.33,Two
Romance,It's Only the Himalayas,45.17,Two
Womens Fiction,A Light in the Attic,51.77,Three
Womens Fiction,Tipping the Velvet,53.74,One
Womens Fiction,Soumission,50.1,One
Womens Fiction,Sharp Objects,47.82,Four
Womens Fiction,Sapiens: A Brief History of Humankind,54.23,Five
Womens Fiction,The Requiem Red,22.65,One
Womens Fiction,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Womens Fiction,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Womens Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Womens Fiction,The Black Maria,52.15,One
Womens Fiction,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Womens Fiction,Shakespeare's Sonnets,20.66,Four
Womens Fiction,Set Me Free,17.46,Five
Womens Fiction,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Womens Fiction,Rip it Up and Start Again,35.02,Five
Womens Fiction,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Womens Fiction,Olio,23.88,One
Womens Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Womens Fiction,Libertarianism for Beginners,51.33,Two
Womens Fiction,It's Only the Himalayas,45.17,Two
Fiction,A Light in the Attic,51.77,Three
Fiction,Tipping the Velvet,53.74,One
Fiction,Soumission,50.1,One
Fiction,Sharp Objects,47.82,Four
Fiction,Sapiens: A Brief History of Humankind,54.23,Five
Fiction,The Requiem Red,22.65,One
Fiction,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Fiction,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Fiction,The Black Maria,52.15,One
Fiction,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Fiction,Shakespeare's Sonnets,20.66,Four
Fiction,Set Me Free,17.46,Five
Fiction,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Fiction,Rip it Up and Start Again,35.02,Five
Fiction,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Fiction,Olio,23.88,One
Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Fiction,Libertarianism for Beginners,51.33,Two
Fiction,It's Only the Himalayas,45.17,Two
Childrens,A Light in the Attic,51.77,Three
Childrens,Tipping the Velvet,53.74,One
Childrens,Soumission,50.1,One
Childrens,Sharp Objects,47.82,Four
Childrens,Sapiens: A Brief History of Humankind,54.23,Five
Childrens,The Requiem Red,22.65,One
Childrens,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Childrens,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Childrens,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Childrens,The Black Maria,52.15,One
Childrens,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Childrens,Shakespeare's Sonnets,20.66,Four
Childrens,Set Me Free,17.46,Five
Childrens,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Childrens,Rip it Up and Start Again,35.02,Five
Childrens,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Childrens,Olio,23.88,One
Childrens,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Childrens,Libertarianism for Beginners,51.33,Two
Childrens,It's Only the Himalayas,45.17,Two
Religion,A Light in the Attic,51.77,Three
Religion,Tipping the Velvet,53.74,One
Religion,Soumission,50.1,One
Religion,Sharp Objects,47.82,Four
Religion,Sapiens: A Brief History of Humankind,54.23,Five
Religion,The Requiem Red,22.65,One
Religion,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Religion,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Religion,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Religion,The Black Maria,52.15,One
Religion,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Religion,Shakespeare's Sonnets,20.66,Four
Religion,Set Me Free,17.46,Five
Religion,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Religion,Rip it Up and Start Again,35.02,Five
Religion,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Religion,Olio,23.88,One
Religion,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Religion,Libertarianism for Beginners,51.33,Two
Religion,It's Only the Himalayas,45.17,Two
Nonfiction,A Light in the Attic,51.77,Three
Nonfiction,Tipping the Velvet,53.74,One
Nonfiction,Soumission,50.1,One
Nonfiction,Sharp Objects,47.82,Four
Nonfiction,Sapiens: A Brief History of Humankind,54.23,Five
Nonfiction,The Requiem Red,22.65,One
Nonfiction,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Nonfiction,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Nonfiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Nonfiction,The Black Maria,52.15,One
Nonfiction,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Nonfiction,Shakespeare's Sonnets,20.66,Four
Nonfiction,Set Me Free,17.46,Five
Nonfiction,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Nonfiction,Rip it Up and Start Again,35.02,Five
Nonfiction,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Nonfiction,Olio,23.88,One
Nonfiction,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Nonfiction,Libertarianism for Beginners,51.33,Two
Nonfiction,It's Only the Himalayas,45.17,Two
Music,A Light in the Attic,51.77,Three
Music,Tipping the Velvet,53.74,One
Music,Soumission,50.1,One
Music,Sharp Objects,47.82,Four
Music,Sapiens: A Brief History of Humankind,54.23,Five
Music,The Requiem Red,22.65,One
Music,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Music,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Music,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Music,The Black Maria,52.15,One
Music,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Music,Shakespeare's Sonnets,20.66,Four
Music,Set Me Free,17.46,Five
Music,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Music,Rip it Up and Start Again,35.02,Five
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Music,Olio,23.88,One
Music,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Music,Libertarianism for Beginners,51.33,Two
Music,It's Only the Himalayas,45.17,Two
Default,A Light in the Attic,51.77,Three
Default,Tipping the Velvet,53.74,One
Default,Soumission,50.1,One
Default,Sharp Objects,47.82,Four
Default,Sapiens: A Brief History of Humankind,54.23,Five
Default,The Requiem Red,22.65,One
Default,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Default,The Black Maria,52.15,One
Default,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Default,Shakespeare's Sonnets,20.66,Four
Default,Set Me Free,17.46,Five
Default,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Default,Rip it Up and Start Again,35.02,Five
Default,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Default,Olio,23.88,One
Default,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Default,Libertarianism for Beginners,51.33,Two
Default,It's Only the Himalayas,45.17,Two
Science Fiction,A Light in the Attic,51.77,Three
Science Fiction,Tipping the Velvet,53.74,One
Science Fiction,Soumission,50.1,One
Science Fiction,Sharp Objects,47.82,Four
Science Fiction,Sapiens: A Brief History of Humankind,54.23,Five
Science Fiction,The Requiem Red,22.65,One
Science Fiction,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Science Fiction,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Science Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Science Fiction,The Black Maria,52.15,One
Science Fiction,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Science Fiction,Shakespeare's Sonnets,20.66,Four
Science Fiction,Set Me Free,17.46,Five
Science Fiction,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Science Fiction,Rip it Up and Start Again,35.02,Five
Science Fiction,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Science Fiction,Olio,23.88,One
Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Science Fiction,Libertarianism for Beginners,51.33,Two
Science Fiction,It's Only the Himalayas,45.17,Two
Sports and Games,A Light in the Attic,51.77,Three
Sports and Games,Tipping the Velvet,53.74,One
Sports and Games,Soumission,50.1,One
Sports and Games,Sharp Objects,47.82,Four
Sports and Games,Sapiens: A Brief History of Humankind,54.23,Five
Sports and Games,The Requiem Red,22.65,One
Sports and Games,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Sports and Games,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Sports and Games,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Sports and Games,The Black Maria,52.15,One
Sports and Games,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Sports and Games,Shakespeare's Sonnets,20.66,Four
Sports and Games,Set Me Free,17.46,Five
Sports and Games,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Sports and Games,Rip it Up and Start Again,35.02,Five
Sports and Games,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Sports and Games,Olio,23.88,One
Sports and Games,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Sports and Games,Libertarianism for Beginners,51.33,Two
Sports and Games,It's Only the Himalayas,45.17,Two
Add a comment,A Light in the Attic,51.77,Three
Add a comment,Tipping the Velvet,53.74,One
Add a comment,Soumission,50.1,One
Add a comment,Sharp Objects,47.82,Four
Add a comment,Sapiens: A Brief History of Humankind,54.23,Five
Add a comment,The Requiem Red,22.65,One
Add a comment,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Add a comment,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Add a comment,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Add a comment,The Black Maria,52.15,One
Add a comment,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Add a comment,Shakespeare's Sonnets,20.66,Four
Add a comment,Set Me Free,17.46,Five
Add a comment,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Add a comment,Rip it Up and Start Again,35.02,Five
Add a comment,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Add a comment,Olio,23.88,One
Add a comment,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Add a comment,Libertarianism for Beginners,51.33,Two
Add a comment,It's Only the Himalayas,45.17,Two
Fantasy,A Light in the Attic,51.77,Three
Fantasy,Tipping the Velvet,53.74,One
Fantasy,Soumission,50.1,One
Fantasy,Sharp Objects,47.82,Four
Fantasy,Sapiens: A Brief History of Humankind,54.23,Five
Fantasy,The Requiem Red,22.65,One
Fantasy,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Fantasy,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Fantasy,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Fantasy,The Black Maria,52.15,One
Fantasy,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Fantasy,Shakespeare's Sonnets,20.66,Four
Fantasy,Set Me Free,17.46,Five
Fantasy,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Fantasy,Rip it Up and Start Again,35.02,Five
Fantasy,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Fantasy,Olio,23.88,One
Fantasy,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Fantasy,Libertarianism for Beginners,51.33,Two
Fantasy,It's Only the Himalayas,45.17,Two
New Adult,A Light in the Attic,51.77,Three
New Adult,Tipping the Velvet,53.74,One
New Adult,Soumission,50.1,One
New Adult,Sharp Objects,47.82,Four
New Adult,Sapiens: A Brief History of Humankind,54.23,Five
New Adult,The Requiem Red,22.65,One
New Adult,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
New Adult,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
New Adult,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
New Adult,The Black Maria,52.15,One
New Adult,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
New Adult,Shakespeare's Sonnets,20.66,Four
New Adult,Set Me Free,17.46,Five
New Adult,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
New Adult,Rip it Up and Start Again,35.02,Five
New Adult,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
New Adult,Olio,23.88,One
New Adult,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
New Adult,Libertarianism for Beginners,51.33,Two
New Adult,It's Only the Himalayas,45.17,Two
Young Adult,A Light in the Attic,51.77,Three
Young Adult,Tipping the Velvet,53.74,One
Young Adult,Soumission,50.1,One
Young Adult,Sharp Objects,47.82,Four
Young Adult,Sapiens: A Brief History of Humankind,54.23,Five
Young Adult,The Requiem Red,22.65,One
Young Adult,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Young Adult,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Young Adult,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Young Adult,The Black Maria,52.15,One
Young Adult,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Young Adult,Shakespeare's Sonnets,20.66,Four
Young Adult,Set Me Free,17.46,Five
Young Adult,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Young Adult,Rip it Up and Start Again,35.02,Five
Young Adult,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Young Adult,Olio,23.88,One
Young Adult,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Young Adult,Libertarianism for Beginners,51.33,Two
Young Adult,It's Only the Himalayas,45.17,Two
Science,A Light in the Attic,51.77,Three
Science,Tipping the Velvet,53.74,One
Science,Soumission,50.1,One
Science,Sharp Objects,47.82,Four
Science,Sapiens: A Brief History of Humankind,54.23,Five
Science,The Requiem Red,22.65,One
Science,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Science,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Science,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Science,The Black Maria,52.15,One
Science,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Science,Shakespeare's Sonnets,20.66,Four
Science,Set Me Free,17.46,Five
Science,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Science,Rip it Up and Start Again,35.02,Five
Science,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Science,Olio,23.88,One
Science,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Science,Libertarianism for Beginners,51.33,Two
Science,It's Only the Himalayas,45.17,Two
Poetry,A Light in the Attic,51.77,Three
Poetry,Tipping the Velvet,53.74,One
Poetry,Soumission,50.1,One
Poetry,Sharp Objects,47.82,Four
Poetry,Sapiens: A Brief History of Humankind,54.23,Five
Poetry,The Requiem Red,22.65,One
Poetry,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Poetry,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Poetry,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Poetry,The Black Maria,52.15,One
Poetry,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Poetry,Shakespeare's Sonnets,20.66,Four
Poetry,Set Me Free,17.46,Five
Poetry,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Poetry,Rip it Up and Start Again,35.02,Five
Poetry,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Poetry,Olio,23.88,One
Poetry,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Poetry,Libertarianism for Beginners,51.33,Two
Poetry,It's Only the Himalayas,45.17,Two
Paranormal,A Light in the Attic,51.77,Three
Paranormal,Tipping the Velvet,53.74,One
Paranormal,Soumission,50.1,One
Paranormal,Sharp Objects,47.82,Four
Paranormal,Sapiens: A Brief History of Humankind,54.23,Five
Paranormal,The Requiem Red,22.65,One
Paranormal,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Paranormal,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Paranormal,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Paranormal,The Black Maria,52.15,One
Paranormal,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Paranormal,Shakespeare's Sonnets,20.66,Four
Paranormal,Set Me Free,17.46,Five
Paranormal,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Paranormal,Rip it Up and Start Again,35.02,Five
Paranormal,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
Paranormal,Olio,23.88,One
Paranormal,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
Paranormal,Libertarianism for Beginners,51.33,Two
Paranormal,It's Only the Himalayas,45.17,Two
Art,A Light in the Attic,51.77,Three
Art,Tipping the Velvet,53.74,One
Art,Soumission,50.1,One
Art,Sharp Objects,47.82,Four
Art,Sapiens: A Brief History of Humankind,54.23,Five
Art,The Requiem Red,22.65,One
Art,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
Art,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
Art,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
Art,The Black Maria,52.15,One
Art,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Art,Shakespeare's Sonnets,20.66,Four
Art,Set Me Free,17.46,Five
Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
Art,Rip it Up and Start Again,35.02,Five
